mt_main_poi_id	mt_poi_cate2_id	mt_poi_cate3_id	poi_name
6189327	10	2087	重庆星星麻辣烫（国贸店）
6189332	315	383	安逸夜啤
6189347	231	231	八角香鲜鱼庄
6189372	184	236	京华酒楼
6189387	10	11	东良饭店
6189417	249	179	酷狗冰吧
6189447	10	1966	陕西正宗擀面皮
6189497	10	1943	龙翔大包
6189502	10	1962	稻香村（南新园中路店）
6189507	255	660	良品铺子（襄樊二十一店）
6189517	10	2109	正大食品（爱辉店）
6189537	249	179	Mr.J生活馆
6189542	10	2109	老六煎饼
6189547	229	2003	桂园宾馆（桂园酒楼）
6189572	249	12	小伙伴DiY烘焙
6189577	319	233	湖镇鑫和酒店
6189612	30	1916	九只蟹固城湖大闸蟹
6189627	201	244	裕丰肥羊（共和路店）
6189652	30	1911	西溪楼
6189662	255	660	良品铺子（德兴一店）
6189667	229	2003	渝江美食
6189677	2163	9	胖胖哥麻辣海鲜
6189682	10	2093	沪上一品生煎馆
6189727	30	1904	隆盛府酒家
6189737	10	11	西街小厨
6189767	10	11	黄焖鸡米饭
6189782	30	1911	民间食府
6189792	201	244	香霸筋头巴脑排骨锅（希望总店）
6189802	10	183	同云祥老味面馆
6189807	309	26	赫佰仕德国现酿啤酒餐厅
6189817	10	11	湾仔水吧
6189842	2164	2046	曹边农庄
6189867	2165	1988	Unicorn Patisserie 独角兽咖啡蛋糕店
6189887	10	2090	毕老爷酱骨坊
6189897	10	2109	孙记烩面馆
6189952	257	665	旺得福精品水果
6189967	10	11	浙江小吃
6189972	10	11	台湾便当
6190002	10	11	武汉美食音乐节
6190047	10	2087	五棵松酸辣粉麻辣烫（民族大学店）
6190052	10	11	惠群馅饼
6190057	319	2121	家佳乐美味村鹅店
6190062	10	2087	蜀味源麻辣烫
6190077	10	11	安娜小厨
6190087	230	230	在水一舫
6190132	201	244	小羊倌
6190137	2164	223	潮百味潮式风味餐厅（卡罗店）
6190142	10	11	鲜而纯面馆
6190147	229	2003	大四喜
6190152	2165	1988	丝路花雨休闲会所
6190162	184	2124	孟江翁
6190167	10	1972	儒子牛杂（悦来路店）
6190192	249	179	王子轩
6190217	10	2109	第1佳大鸡排
6190237	229	2003	老菜年代风味馆
6190247	2164	2046	陈家菜馆
6190282	2165	2113	自由空间（林廓北路店）
6190302	249	1900	光记小吃
6190322	2163	9	伊园海鲜排档
6190327	10	11	酷客小站（挂绿广场店）
6190352	201	244	鱼品香（海阳路店）
6190362	10	2087	晶晶麻辣烫（新桥靠北街店）
6190432	2164	2046	常德土菜馆
6190437	10	11	杨铭宇黄焖鸡
6190452	315	2043	欧巴烤翅（胜利路店）
6190472	309	1848	麦酷基
6190487	10	2082	胡记水饺馄饨馆
6190502	230	230	衡府鱼粉馆
