xp.mt_main_poi_id	xp.mt_poi_cate2_id	xp.mt_poi_cate3_id	xp.poi_name
4366879	201	244	御记煌三汁焖锅（柳巷食品街店）
4382300	201	244	黄记煌三汁焖锅（帝豪时代广场店）
4394918	201	244	御记煌焖锅
4396388	229	2003	黄尚煌三汁焖锅（泰和店）
4397528	201	244	御记煌三汁焖锅（清真时尚餐厅）
4412098	201	244	焖锅达人
4417027	23	2042	春草居酒屋（九街店）
4417795	10	2109	水晶焖锅（龙湖·U城天街店）
4443848	23	2042	八森町居酒屋
4443990	2164	223	过锅瘾三汁焖锅（百盛旗舰店）
4446347	201	244	黄记煌三汁焖锅（新玛特店）
4453427	201	244	德玛西亚三汁焖锅
4461861	201	244	来御来三汁焖锅（观澜店）
4463331	27	1994	黄记煌三汁焖锅（空港店）
4503062	201	244	厨先生水晶焖锅（亳州店）
4503281	2164	2051	御品皇三汁焖锅（北门店）
4503438	201	244	鸿御煌三汁焖锅（小吃街店）
4517779	201	244	黄记煌三汁焖锅（益庄店）
4518336	201	244	土财主三汁焖锅
4527247	201	244	鸿记煌三汁焖锅（人民广场店）
4529168	201	244	黄记煌三汁焖锅（万豪广场店）
4530430	175	2007	皇家大厨水晶焖锅
4557930	201	244	笨笨啤酒鸭焖锅
4561076	201	244	黄记煌三汁焖锅（五缘湾乐都汇店）
4563470	201	244	过把瘾三汁焖锅
4571365	201	244	过锅瘾三汁焖锅（富兴北街店）
4579245	201	244	黄记煌三汁焖锅（高新万达广场店）
4592130	201	244	来御来三汁焖锅（乐都汇店）
4596072	201	244	李记煌记皇焖锅（渭南店）
4599743	184	236	土财主三汁焖锅
4626332	201	244	御上皇三汁焖锅（新商业街店）
4630670	229	2001	黄记煌三汁焖锅（壹海城店）
4671695	315	383	七公烤翅焖锅店
4675491	229	2001	黄记煌三汁焖锅（国贸360店）
4677836	201	244	黄记煌三汁焖锅（昊鑫时代广场店）
4678490	229	2001	锅色长安三汁焖锅
4680495	201	244	来之御三汁焖锅
4694856	201	244	三汁焖锅（千盛店）
4696879	201	244	皇上煌三汁焖锅
4712255	201	244	御记煌三汁焖锅
4712336	229	2003	一品黄记三汁焖锅（二郎店）
4720662	201	244	过锅瘾三汁焖锅
4736282	229	2001	黄记煌三汁焖锅（振华店）
4738681	229	2003	鸿记煌三汁焖锅 肉蟹煲（名都广场）
4740064	201	244	世纪焖锅&酸汤牛肉
4764006	229	2001	黄记三汁焖锅
4767415	201	241	焖锅鱼
4770440	201	244	黄记煌三汁焖锅（乐宾店）
4771431	201	244	辣尚仙焖锅火锅烤串炒海鲜
4782559	229	2003	一品三汁焖锅
4784178	229	2003	老财主三汁焖锅
4798067	23	2042	樱井居酒屋
4805586	201	244	焖锅
4806969	201	244	巴蜀味道焖锅庄
4810759	229	2001	和福记三汁焖锅
4833271	23	2042	居酒屋
4834183	201	244	黄记煌三汁焖锅（彩悦城店）
4838207	23	2042	佐藤家居酒屋（居酒屋）
4841317	201	244	黄记煌三汁焖锅（民生店）
4857381	201	244	黄记煌三汁焖锅（BHG华联百货店）
4859203	10	11	胖大海焖锅
4890413	201	244	御记煌三汁焖锅（云步街店）
4895889	229	2001	七品焖锅
4911839	201	244	水晶焖锅
4924102	201	244	皇品煌三汁焖锅
4952225	201	244	财记柴焖锅
4963224	229	2001	御福记三汁焖锅
4982075	229	2001	七品焖锅（青县分店）
4983610	10	11	上品黄记煌三汁焖锅
5031440	23	2042	长白山木曾屋居酒屋
5036379	201	244	来御来三汁焖锅
5037926	201	244	黄记煌三汁焖锅（苏宁广场店）
5071305	229	2001	过锅瘾三汁焖锅（津南月坛店）
5075654	201	244	尚鼎鲜三汁焖锅
5082502	201	244	过锅瘾三汁焖锅店
5088602	229	2001	黄记煌三汁焖锅（茶都路店）
5098310	23	317	鸟剑居酒屋（东城店）
5101920	201	244	皇帽香焖锅
5114303	23	2042	森焱创意料理居酒屋
5125381	201	244	过锅瘾三汁焖锅（珠海东路店）
5127295	10	11	过锅瘾三汁焖锅（府谷店）
5129058	201	244	黄记煌三汁焖锅（黎明街店）
5133223	201	244	鸿记煌三汁焖锅
5154495	201	244	鸿鲲楼三汁焖锅（缤纷五州店）
5156554	201	244	土财主三汁焖锅（体育南大街店）
5159638	2164	223	御香七品焖锅
5168408	201	244	崔记三汁焖锅
5229787	201	244	来御来三汁焖锅
5234463	23	2042	牛家居酒屋
5252530	229	2001	来御来三汁焖锅
5260165	229	2001	辣芙蓉三汁焖锅（sm店）
5269878	201	244	御品皇三汁焖锅（澳堡广场店）
5285372	201	244	御品皇三汁焖锅
5293607	201	244	鸿记煌三汁焖锅
5297867	229	2001	黄记煌三汁焖锅（百联中环店）
5314259	229	2001	怪味合焖锅
5353533	229	2003	过锅瘾三汁焖锅（新天地店）
5362646	201	244	有约在鲜鲜汁焖锅（乐和城店）
5370990	201	313	韩国泡泡三汁焖锅
5373699	10	11	小康生活馆麻辣焖锅
5394014	229	2003	千祺秘汁焖锅
5409942	201	244	九阳红三汁焖锅
5437090	201	244	御记煌三汁焖锅（中南店）
5444611	201	244	黄记煌三汁焖锅（万达广场店）
5454842	175	2005	香之源焖锅砂锅
